id,prompts,images
13,උන් වහන්සේ එදා ලැබිය හැකි ව තිබූ නිවන සත්ත්වානුකම්පාවෙන් හැර සසරට පිවිස සාරාසංඛ්‍ය කල්ප ලක්ෂයක් වූ අතිදීර්ඝ කාලය මුළුල්ලෙහි මහා ව්‍යායාමයක් කළ සේක.,sinhala_doc_00013.png
14,එය කරන ලදුයේ සත්ත්වයනට පිහිට වනු පිණිස ම ය.,sinhala_doc_00014.png
15,දැන් අපට පිහිට වන්නා වූ අපගේ මාපියාදි කිසිවෙක් අපට දුකක් පැමිණි කල ඉන් අප මුදවා ගනු පිණිස තමන් ගේ ශරීරවලින් ලේ කළඳකුදු මස් කළඳකුදු වියදම් නො කරන්නාහ.,sinhala_doc_00015.png
16,"එහෙත් බුදුන් වහන්සේ අපට පිහිටවනු පිණිස බුද්ධත්වය පතා ධනය ද, අඹුදරුවන් ද, තමන් වහන්සේගේ ඇස් ඉස් ලේ මස් ද ජීවිතය ද සියදහස් ගණන් ජාතිවලදී පරිත්‍යාග කළ සේක.",sinhala_doc_00016.png
17,එ බැවින් මහා කාරුණික වූ තථාගතයන් වහන්සේ අපට පිහිට වනු පිණිස කළ ක්‍රියා රාශිය ද ඉතා මහත් බව දත යුතු ය.,sinhala_doc_00017.png
18,එය මෙතෙකැයි ප්‍ර‍මාණ කරන්නට ද නුපුළුවන.,sinhala_doc_00018.png
19,ධර්මරත්නය සත්ත්වයනට පිහිට වන ආකාරය මෙසේ ය.,sinhala_doc_00019.png
20,"ලෝකෝත්තර ධර්ම නවය අතුරෙන් සෝවාන් මාර්ගය, එය ලබා ගත් තැනැත්තා සතර අපායෙන් හා ජාති සතකින් මත්තෙහි ඔහුට ලැබෙන්නට තිබෙන සංසාර දුඃඛයෙන් ද එතර කොට නිවනට පමුණුවයි.",sinhala_doc_00020.png
21,"සෝවාන් මාර්ගයට පැමිණි ආර්ය්‍ය ශ්‍රාවකයා හට එහි ආනුභාවයෙන් නැති වූ දුඃඛස්කන්ධය මහ පොළොවේ පස් සමූහය මෙන් ද, ඔහුට ඉතිරි දුඃඛය කෙනකු විසින් මහපොළොවෙන් නිය පිටට ගත් පස් ස්වල්පය මෙන් ද දත යුතු ය.",sinhala_doc_00021.png
22,සකෘදාගාමී මාර්ගය එක් වරකින් මතු කාම ලෝකයේ ඉපද ලබන්නට වන දුඃඛ ස්කන්ධයෙන් ඒ මාර්ගය ලැබූ පුද්ගලයා එතර කොට නිවනට පමුණුවයි.,sinhala_doc_00022.png
23,"අනාගාමි මාර්ගය, මතු කාමලෝකයේ ඉපිද ලැබිය හැකි දුඃඛස්කන්ධයෙන් එයට පැමිණි පුද්ගලයා එතර කොට නිවනට පමුණුවයි.",sinhala_doc_00023.png
24,"අර්හත් මාර්ගය, මේ භවයෙන් මතු ඉපදීමෙන් ලැබිය හැකි දුඃඛස්කන්ධයෙන් එයට පැමිණි පුද්ගලයා එතර කොට නිවනට පමුණුවයි.",sinhala_doc_00024.png
25,නිර්වාණ ධර්මය වනාහි සකල සාංසාරිකාපායික දුඃඛස්කන්ධය නිවීම් වශයෙන් ඒ ඒ මාර්ග ඵලයන්ට පැමිණියවුන්ට පිහිට වේ.,sinhala_doc_00025.png
26,දුක් නැති කර ගැනීමට ඇත්තා වූ උසස් ම පිහිට ඒ නිවන ය.,sinhala_doc_00026.png
27,පර්ය්‍යාප්ති සංඛ්‍යාත පිටකත්‍ර‍ය ධර්මය වනාහි සියලු දුක් නැති කර ගැනීමේ හා සියලු සම්පත් ලබා ගැනීමේ ද මාර්ගය දැක්වීම් වශයෙන් සත්ත්වයන්ට පිහිට වේ.,sinhala_doc_00027.png
28,"මරනු සඳහා ගැසීම්, කැපීම්, ඇනීම් ආදි සියතින් ම කරන්නා වූ ව්‍යායාම ස්වාහස්තික ප්‍රයෝග නම් වේ.",sinhala_doc_00028.png
29,සියතින් නො මරා අනෙකකු ලවා කරවීම ආඥා ප්‍රයෝග නම් වේ.,sinhala_doc_00029.png
30,"ගල් ගැසීම, පොලු දමා ගැසීම, ආයුධ දමා ගැසීම, වෙඩි තැබීම යනාදි වශයෙන් යම් කිසිවක් තමා ගේ අතින් මුදා සත්ත්වයකුගේ ශරීරයට යැවීම් වශයෙන් කරන්නා වූ උත්සාහය නිස්සර්ගික ප්‍රයෝග නම් වේ.",sinhala_doc_00030.png
31,"උගුල් ඇටවීම, හුල් සිටවා තැබීම, තුවක්කු බැඳ තැබීම, වලවල් සාරා තැබීම යනාදිය ස්ථාවර ප්‍රයෝග නම් වේ.",sinhala_doc_00031.png
32,"අංගම් පිඹීම, සූනියම් කිරීම, පිල්ලි යැවීම ආදි වූ විද්‍යාවකින් කරන්නා වූ උත්සාහය විද්‍යාමය ප්‍රයෝග නම් වේ.",sinhala_doc_00032.png
33,ඇතැම් සත්ත්වයනට අනුන් නැසිය හැකි ඍද්ධි උත්පත්තියෙන් ම පිහිටා තිබේ.,sinhala_doc_00033.png
34,බොහෝ සෙයින් එබඳු ඍද්ධි ඇත්තෝ අමනුෂ්‍යයෝ ය.,sinhala_doc_00034.png
35,"ඔවුනට තමාගේ ශරීරය දැක්වීමෙන් ද, බිය ගෙන දෙන වෙස් මවා දැක්වීමෙන් ද, බිය ගන්වා මනුෂ්‍යාදි සත්ත්වයන් මැරිය හැකිය. ඒ ඔවුන්ගේ ඍද්ධිය ය.",sinhala_doc_00035.png
36,එ බඳු ඍද්ධියකින් කරන්නා වූ උත්සාහය ඍද්ධිමය ප්‍රයෝග නම් වේ.,sinhala_doc_00036.png
37,මේ සයක් වූ ප්‍රයෝගයන් අතුරෙන් කවර ප්‍රයෝගයකින් වුව ද මැරුවහොත් ප්‍රාණඝාත පාපය සිදු වේ.,sinhala_doc_00037.png
38,"'දෙවන භාජන ප්‍ර‍තික්ෂේප කරමි, පත්තපිණ්ඩිකාංගය සමාදන් වෙමිය' යනු එහි තේරුම ය.",sinhala_doc_00038.png
39,මෙය රක්නා තැනැත්තා විසින් වළඳන අහර සියල්ල ම එකවර එක් භාජනයකට ගෙන වැළඳිය යුතුය.,sinhala_doc_00039.png
40,මිශ්‍ර‍ වූ කල්හි වැළඳිය නොහෙන ආහාරයක් වේ නම් එය වළඳන භාජනයට ගෙන පළමු ව හෝ පසුව වැළඳිය යුතු ය.,sinhala_doc_00040.png
41,"දෙවන භාජනයක් වශයෙන් කෙසෙල් පතකුදු ගතහොත්, ධුතාංගය බිඳේ.",sinhala_doc_00041.png
42,ආහාරය පිළිගන්නා කල්හි ද පමණ ඉක්මවා නො ගෙන සෑහෙන පමණට පිළිගත යුතු ය.,sinhala_doc_00042.png
43,මේ ධුතාංග දෙක ම එකවර සමාදන් වී රැකිය හැකි ය.,sinhala_doc_00043.png
44,මරණින් මතු සත්ත්වයා අන්‍ය භාවයකට පමුණුවා අභිනව පුද්ගලයකු කොට උපදවන්නා වූ කුශලාකුශල කර්මය ජනක කර්මය නම් වේ.,sinhala_doc_00044.png
45,තවත් ක්‍ර‍මයකින් කියතොත් අනාගත භවයෙහි ප්‍ර‍තිසන්ධිය ගෙන දෙන්නා වූ කර්මය ජනක කර්ම නම් වේ.,sinhala_doc_00045.png
46,අංග සම්පූර්ණ වී බලවත් වූ කුශලාකුශලයෝ ජනක කර්ම වෙති.,sinhala_doc_00046.png
47,දුර්වල කර්මයෝ ජනක කර්ම භාවයට නො පැමිණෙති.,sinhala_doc_00047.png
48,"ප්‍ර‍තිසන්ධියක් ගෙන දීමට තරම් ශක්තිය නැති කර්මයෝ, ජනක කර්මයකින් භවයෙහි උපන් සත්ත්වයා හට වරින් වර සැප දුක් ගෙන දෙති",sinhala_doc_00048.png
49,සමහර විට විපාකයක් සර්වාකාරයෙන් ම නොදී අභාවයට යෙති.,sinhala_doc_00049.png
50,සුගති දුර්ගතීන්ට පැමිණවීමේ ශක්තිය ඇති බොහෝ ජනකකර්ම එක් පුද්ගලයකුට ඇත්තේ ය.,sinhala_doc_00050.png
51,එයින් එක් වරකට විපාක දෙන්නේ එක් ජනක කර්මයෙකි.,sinhala_doc_00051.png
52,ජනකකර්ම බොහෝ ගණනකට එකවර විපාක දීමට අවකාශයක් නැත.,sinhala_doc_00052.png
53,සත්ත්වයකු එක් එක් භවයක ජීවත් වන කාලය එක් ජනක කර්මයක විපාකය ලබමින් සිටින කාලය ය.,sinhala_doc_00053.png
54,මරණයට පැමිණීමෙන් ඒ භවය කෙළවර වූ කල්හි අන් ජනක කර්මයකට අවකාශ ලැබේ.,sinhala_doc_00054.png
55,මරණාසන්න කාලයේ දී ඉදිරිපත් වූ ජනක කර්මයකින් සත්ත්වයා නැවත සුගතියට හෝ දුර්ගතියට පමුණුවනු ලැබේ.,sinhala_doc_00055.png
56,"සාමාන්‍යයෙන් එකක් වූ ඒ අර්ථය හීනාර්ථයය, පරමාර්ථයයි දෙකොටසකට බෙදේ.",sinhala_doc_00056.png
57,ඇතැම් වචනයක් ඇසුණු කල්හි එහි අර්ථය වශයෙන් සිතට දැනෙන දෙය ඉතා මහත් දෙයක් හැටියට දැනුණත් ඒ දැනුණු දෙය සත්‍යය වශයෙන් නැති දෙයක් විය හැකිය.,sinhala_doc_00057.png
58,ඇතැම් වචනයක් ඇසුණු කල්හි එහි අර්ථය වශයෙන් දැනෙන දෙය ඉතා සියුම් අප්‍ර‍කට දෙයක් වුවද එය සත්‍යය වශයෙන් ඇති දෙයක් විය හැකිය.,sinhala_doc_00058.png
59,'මේසය' යන වචනය ඇසුණු කල්හි එයින් විශාල වස්තුවක් සිතට දැනෙයි.,sinhala_doc_00059.png
60,"එය වැඩිදුර විමසා බැලුවහොත් එහි කෙලින් තැබූ ලී කැබලි සතරක් ද, ඒවා එකිනෙකට සම්බන්ධ කිරීමට යෙදූ ලී කැබෙලි සතරක් ද, ඒවා මත අතුළ ලෑලි කැබලි කීපයක් ද, ඇණ ටිකක් ද, දැකිය හැකිය.",sinhala_doc_00060.png
61,"ඒවායින් එක් දෙයකුදු මේසය නො වේ, ඒ සියල්ල ද මේසය නොවේ.",sinhala_doc_00061.png
62,"ඒ සියල්ල මේසය නම්, ඒ සියල්ල මිටියක් බැඳ තැබූ කල්හි ද ඒ ලී මිටිය මේසයක් විය යුතුය.",sinhala_doc_00062.png
63,එසේ නො වන්නේ ඒ සියල්ල මේසය නොවන බැවිනි.,sinhala_doc_00063.png
64,ලී කැබෙලි ටික හැර මේසය කියා දෙයක් ද නැත.,sinhala_doc_00064.png
65,මේසය යන වචනය ඇසීමෙන් සිතට දැනුණු දෙය ලී කැබලි ටික ඒ ආකාරයෙන් එකිනෙකට සම්බන්ධ කළ කල්හි ඒ ලී කැබලිවල සම්බන්ධ වී තිබෙන ආකාරය අනුව ඇති සැටියට සිතට හැඟෙන සත්‍ය වශයෙන් නො ලැබෙන දෙයකි.,sinhala_doc_00065.png
66,"අප භාවිත කරන වචනවලින් බොහෝවක් ම ඇසුණු කල්හි ඒවායින් සිතට දැනෙන අර්ථ, මේසය යන වචනයෙන් දැනෙන අර්ථය සේම සත්‍යය වශයෙන් නො ලැබෙන්නා වූ අර්ථයෝය.",sinhala_doc_00066.png
67,"පුටුව, ගෙය, දවස, මාසය, උතුර, දකුණ, ගොනා, මිනිසා යන මේ වචනවල අර්ථ විමසා බලනු.",sinhala_doc_00067.png
68,ඇතැම් වචනයක් ඇසුණු කල්හි එයින් අසන්නහු ගේ සිතට හැඟෙන දෙය ඉතා අප්‍ර‍කට දෙයක් වතුදු එය සත්‍ය වශයෙන් ඇතියක් විය හැකිය.,sinhala_doc_00068.png
69,"චිත්ත, ඵස්ස, වේදනා, ලෝභ, දෝස, මෝහ යනාදි වචනවලින් හැඟෙන්නා වූ අර්ථයෝ මේසාදිය සේ මහත්ව නො වැටහෙන ඒවා වුවද සත්‍යය වශයෙන් ඇත්තා වූ අර්ථයෝ ය.",sinhala_doc_00069.png
70,"සත්‍යය වශයෙන් නැත්තා වූ අර්ථයය, සත්‍ය වශයෙන් ඇත්තා වූ අර්ථයය යන මේ දෙකින් සත්‍ය වශයෙන් නො ලැබෙන අර්ථයට වඩා සත්‍යය වශයෙන් ලැබෙන අර්ථය උසස්ය.",sinhala_doc_00070.png
71,සත්‍ය වශයෙන් නො ලැබෙන අර්ථය පහත්ය.,sinhala_doc_00071.png
72,එබැවින් සත්‍යය වශයෙන් ලැබෙන අර්ථය පරමාර්ථ නම් වේ.,sinhala_doc_00072.png
73,සත්‍යය වශයෙන් නොලැබෙන අර්ථය හීනාර්ථ නම් වේ.,sinhala_doc_00073.png
74,සිතින් දත හැකි සිතට දැනෙන දේවලට අරමුණු යයි කියති.,sinhala_doc_00074.png
75,ඒ අරමුණු පිළිබඳ දැනුම සිතය. එය ක්‍රියාවෙකි.,sinhala_doc_00075.png
76,එහෙත් කථා කිරීමේදී පහසුව පිණිස දැනීම කරන කර්තෘ කෙනකු සැටියට ද පුද්ගලයකු විසින් කරන දැන ගැනීමට උපකරණයක් වශයෙන් ද ගෙන සිත පිළිබඳව කථා කරනු ලැබේ,sinhala_doc_00076.png
77,'සිතට සැම දෙය ම දැනේ ය' යි කියනුයේ සිත 'දැනීම' කරන කර්තෘ කෙනකු වශයෙන් ගැනීමෙනි.,sinhala_doc_00077.png
78,'මිනිසා සිතින් දැන ගන්නේය' යි කියනුයේ සිත උපකරණයක් වශයෙන් ගැනීමෙනි.,sinhala_doc_00078.png
79,කීම කෙසේ කළත් සැම කල්හි ම සිත ක්‍රියාවක් වශයෙන් ම සැලකිය යුතු ය.,sinhala_doc_00079.png
80,අඳුරෙහි අතගාන්නා වූ කෙනකුට දැනෙනුයේ අතේ සැපුණ දෙයක් පමණකි. නො සැපුණු දෙයක් නො දැනේ.,sinhala_doc_00080.png
81,එමෙන් සිතට දැනෙනුයේ ද සිතෙහි සැපුණු දෙයක් පමණෙකි.,sinhala_doc_00081.png
82,"කැපිය යුතු වස්තුවක් සම්බන්ධයෙන් නැතිව කැපීමක් නො විය හැකිවාක් මෙන් ද, කෑ යුතු දෙයක සම්බන්ධයක් නැතිව කෑමක් නොවිය හැකිවාක් මෙන් ද, ඇල්ලිය යුතු දෙයක් නැතිව ඇල්ලීමක් නොවිය හැකිවාක් මෙන් ද, දත යුතු",sinhala_doc_00082.png
83,දෙයක සම්බන්ධයෙන් තොරව දැනීමක් ද නො විය හැකිය.,sinhala_doc_00083.png
84,දැනීමක් ඇතිවීමට සැම කල්හි ම දත යුතු දෙයක සම්බන්ධයක් තිබිය යුතු ය.,sinhala_doc_00084.png
85,සිත සෑම කල්හි ම උපදිනුයේ දත යුතු දෙය හා ගැටී එය බදාගෙන ම ය.,sinhala_doc_00085.png
86,දත යුත්ත හා ගැටීම; දැනීම නමැති ප්‍ර‍ධාන ක්‍රියාව සිදු වීමෙහි දී එය හා බැඳී සිදු වන්නා වූ අන් ක්‍රියාවෙකි. අප්‍ර‍ධාන ක්‍රියාවක් වූ එය ස්පර්ශ චෛතසිකය ය.,sinhala_doc_00086.png
87,"තමා අයත් දෙයක් අනෙකකුට අයිති වීම නො ඉවසන්නා වූ ද, තමා අයත් දෙයකින් අනෙකකුට ප්‍රයෝජනයක් වීම නො ‍ඉවසන්නා වූ ද, තමාගේ සම්පත්තිය වැනි සම්පත්තියක් අනෙකකුට ඇති වීම නො ඉවසන්නා වූ ද, තමාගේ",sinhala_doc_00087.png
88,සම්පත්තිය අන්‍යයන් දැක ගැනීම නො ඉවසන්නා වූ ද ස්වභාවය මාත්සර්ය්‍යය යි.,sinhala_doc_00088.png
89,අධික මසුරු බව ඇත්තේ තමාට ප්‍රයෝජනයක් නැති නිසා අත් හළ දෙයක් වුව ද අනෙකකු විසින් ගැනීම නො ඉවසයි.,sinhala_doc_00089.png
90,තමා අයත් දෙයක් දීම ගැන කියනු කිම? ඇතමෙක් තමන් සතු දෙයක් දීම තබා අනෙකකු ගේ දීම පවා නො ඉවසති.,sinhala_doc_00090.png
91,දෙන අන්‍යයන්ට ද ගර්හා කෙරෙති.,sinhala_doc_00091.png
92,අනුන් ගේ දීම පවා නො ඉවසන ඒ තද මසුරු බවට කදරියතාවය යි කියනු ලැබේ.,sinhala_doc_00092.png
93,"ඇති වීමට හේතු වන වස්තූන් ගේ වශයෙන් ආවාස මච්ඡරිය, කුලමච්ඡරිය, ලාභමච්ඡරිය, වණ්ණමච්ඡරියය, ධම්මමච්ඡරියය යි මාත්සර්ය්‍ය පසක් ධම්මසංගණියේ දක්වා තිබේ.",sinhala_doc_00093.png
94,"ඒ පඤ්චප්‍ර‍කාර මාත්සර්ය්‍යයන් අතුරෙන් ආවාස මච්ඡරියෙන් මසුරුකම් කළවුන් ආවාසවල කුණු කසළ හිස මත තබා හැසිරෙන යක්ෂයන් ප්‍රේතයන් වන බව ද, කුලමච්ඡරියෙන් ලේ වමනය ලේ අතීසාර හටගන්නා බව ද, ලාභමච්ඡරියෙන් යක්ෂයන් ප්‍රේතයන් පිඹුරන් වන බව ද, අත්ථසාලිනී අටුවාවෙහි දක්වා තිබේ.",sinhala_doc_00094.png
95,"තවද ආවාස මච්ඡරියෙන් නරකයෙහි උපදනා බව ද, කුලමච්ඡරියෙන් අල්ප ලාභී වන බව ද, ලාභමච්ඡරියෙන් ගූථ නරකයෙහි උපදනා බව ද, වණ්ණ මච්ඡරියෙන් උපදින උපදින ජාතිවල විරූප වන බව ද, ධම්මමච්ඡරියෙන් කුක්කුල නරකයෙහි උඵදනා බව ද එහි ම දක්වා ඇත්තේ ය.",sinhala_doc_00095.png
96,"චිත්තය හෙවත් සිත යනු පරමාර්ථ වශයෙන් හා අපරමාර්ථ වශයෙන් ද ඇත්තා වූ අනේක ප්‍ර‍කාරාර්ථයන් පිළිබඳ වූ දැනීම ය, 'චේත, මන, විඤ්ඤාණ, හදය, මානස,' යන මේවා ද චිත්තය ම දක්වන පාළි වචනයෝ ය.",sinhala_doc_00096.png
97,"ඇසය, කනය, නාසයය, දිවය, කයය, හෘදයය යන මේ ස්ථානයන්හි සිත පහළ වේ.",sinhala_doc_00097.png
98,එය ක්‍රියාවක් වුවද ව්‍යවහාර පහසුව පිණිස දැනීම කරන කර්තෘ ශක්තිය ඇති ද්‍ර‍ව්‍යයක් සේ ද කරණ ශක්තිය ඇති ද්‍ර‍ව්‍යයක් සේ ද ව්‍යවහාර කරනු ලැබේ.,sinhala_doc_00098.png
99,"දැකීමය, පෙනීමය, ඇසීමය යනාදි වශයෙන් ඒ ඒ ආකාරයෙන් උපදනා සිත් හැඳින්වීමට පාවිච්චි කරන වචන ව්‍යවහාර භාෂාවේ බොහෝ ගණනකි.",sinhala_doc_00099.png
100,ඇසෙහි රූපයක් ගැටුණු කල්හි එය පිළිබඳ දැනුමක් හෙවත් සිතක් පහළ වේ.,sinhala_doc_00100.png
101,එය ප්‍ර‍කාශ කිරීමේ දී දැනීමය යන වචනය ව්‍යවහාර නො කොට පෙනීමය දැකීමය යන වචන ව්‍යවහාර කරති.,sinhala_doc_00101.png
102,ඇසට හමුවීමෙන් යමක් දත් කල්හි පෙනුණේය කියා හෝ දුටුයේය කියා හෝ කියති.,sinhala_doc_00102.png
103,"වචනය අනෙකක් වුවද එයින් හඟවන්නේ දැනීම මය, හෙවත් සිත ම ය.",sinhala_doc_00103.png
104,"කනෙහි ශබ්දයක් ගැටුණු කල්හි, ඒ හඬ දැන ගන්නා සිතක් උපදී.",sinhala_doc_00104.png
105,එයට හඬ දැනුම ය යි නො කියා ඇසීමය යි කියනු ලැබේ.,sinhala_doc_00105.png
106,ඇසීම යන වචනයෙන් දැක්වෙන්නේ හඬ දන්නා වූ සිතය.,sinhala_doc_00106.png
107,නාසයට දුඟඳක් පිවිසි කල්හි සමහර විට ගඳක් දැනේය යි කියති.,sinhala_doc_00107.png
108,සමහර විට දැනීමය යන වචනය නො ගෙන ගඳයයි ම කියති.,sinhala_doc_00108.png
109,එබඳු අවස්ථාවලදී 'ගඳය' යන වචනයෙන් හඟවන්නේ ද ගඳ දැන ගන්නා සිත ම ය,sinhala_doc_00109.png
110,රසයක් මුඛයට පැමිණි කල්හි ද සමහර විට රසක් දැනේයයි කියති.,sinhala_doc_00110.png
111,සමහර විට එසේ නො කියා තිත්තය ඇඹුල්ය යනාදීන් රසයේ නම ම කියති.,sinhala_doc_00111.png
112,එබඳු අවස්ථාවල දී රසයේ නමින් පවසන්නේ ද ඒ රසය දන්නා සිත ම ය.,sinhala_doc_00112.png
113,ශරීරයෙහි යම් කිසිවක් සැපුණු කල්හි සමහර විට සැපෙන බව දැනේය යි කියති.,sinhala_doc_00113.png
114,"සමහර විට එසේ නො කියා සැපීමෙන් වන ඵලය හඟවන රිදීමය, ශීතලය, උෂ්ණය යන වචන කියති",sinhala_doc_00114.png
115,එබඳු අවස්ථාවල දී ඒ වචනවලින් කියැවෙන්නේ ද ස්ප්‍ර‍ෂ්ටව්‍යය දන්නා සිතය.,sinhala_doc_00115.png
116,පඤ්චප්‍ර‍සාද සම්බන්ධයක් නැතිව සිතක් ඇති වූ කල්හි සමහර විට සිතුණේය යි කියති.,sinhala_doc_00116.png
117,"සමහර විට දැනුණේය, කල්පනා වුණේය, ඕනෑ වුනේය, වැටහුණේ ය, තේරුණේය, හැඟුණේය යනාදි වචන කියති.",sinhala_doc_00117.png
118,ඒ සියල්ලෙන් ම කියැවෙන්නේ සිත ම ය.,sinhala_doc_00118.png
119,"කරුණු මෙසේ හෙයින් දැකීමය, පෙනීමය, ඇසීමය, ගඳය, සුවඳය, තිත්තය, කසටය, ශීතය, උෂ්ණය, කල්පනාවය, ඕනෑකමය යනාදි වචනවලින් දැක්වෙන්නා වූ අර්ථය චිත්තපරමාර්ථය යි දත යුතුය.",sinhala_doc_00119.png
120,මේ වචනයන් අතුරෙන් ඇතැමකින් අධිකාර්ථ ද කියැවේ.,sinhala_doc_00120.png
121,නිවැරදිව ම සිතා ගැනීමට අධිකාර්ථ හළ යුතුය.,sinhala_doc_00121.png
122,"සද්ධාවය, සතියය, හිරියය, ඔත්තප්පයය, අලෝභයය, අදෝසයය, තත්‍ර‍මජ්ඣත්තතාවය, කායපස්සද්ධියය, චිත්තපස්සද්ධියය, කායලහුතාවය, චිත්තලහුතාවය, කාය මුදුතාවය, චිත්තමුදුතාවය, කායකම්මඤ්ඤතාවය, චිත්තකම්මඤ්ඤතාවය, කායපාගුඤ්ඤතාවය, චිත්ත පාගුඤ්ඤතාවය, කායුජ්ජුකතාවය, චිත්තුජ්ජුකතාවය ඇදහිය යුතු වූ බුද්ධාදි වස්තූන් කෙරෙහි පැහැදීම, බුද්ධාදි වස්තූන් කෙරෙහි විශ්වාසය ශ්‍ර‍ද්ධාව ය.",sinhala_doc_00122.png
123,පැහැදීමය යනු පිළිගන්නා ස්වභාවය ය.,sinhala_doc_00123.png
124,ශුද්ධ ජලයෙහි සමීපයේ පිහිටි වස්තූන්ගේ ඡායා පෙනේ.,sinhala_doc_00124.png
125,වස්තූන් ගේ ඡායා පිළිගන්නා ස්වභාවයක් හෙවත් ඡායාවන්ට ප්‍රවේශ වීමට ඉඩ දෙන ස්වබාවයක් ශුද්ධ ජලයෙහි ඇත්තේ ය.,sinhala_doc_00125.png
126,එය ජලයා ගේ පැහැදීම ය.,sinhala_doc_00126.png
127,එසේ ම බුද්ධාදීන් පිළිගන්නා ස්වභාවයක් බුද්ධාදීන් ගේ ගුණයන්ට පිවිසෙන්නට ඉඩ දෙන ස්වභාවයක් සිත්හි ඇත්තේ ය.,sinhala_doc_00127.png
128,විශ්වාසය යි කියනුයේ ද ඒ පැහැදීමට ය,sinhala_doc_00128.png
129,සක්විති රජුගේ උදක ප්‍ර‍සාදක මාණික්‍යය බොර දියේ ලූ කල්හි එම මඩ සෙවෙල් ආදිය ගිලා බැස ජලය පෑදෙන්නාක් මෙන් ශ්‍ර‍ද්ධාව උපන් කල්හි සිතේ බොර ගතිය වූ කුශලයට බාධක වූ අකුශලයට හිත වූ නීවරණ ධර්මයෝ නූපදීම් වශයෙන් සිතින් පහ වෙති.,sinhala_doc_00129.png
130,ඒ හේතුවෙන් පැකිළීමක් නැති ව ශ්‍ර‍ද්ධාව ඇතියහුට දන් දිය හැකි වේ.,sinhala_doc_00130.png
131,"සිල් රැකිය හැකි වේ, භාවනා කළ හැකි වේ, තවත් පින් කම් කළ හැකි වේ.",sinhala_doc_00131.png
132,පුණ්‍ය ක්‍රියා විෂයෙහි ඉදිරියෙන් ගමන් කරන බව ද ශ්‍ර‍ද්ධාවේ ලක්ෂණයකි.,sinhala_doc_00132.png
133,නපුරු සතුන්ගෙන් ගහන ගංගාවක දෙපසෙහි රැස්ව එතෙර වීමට බියෙන් සිටින ජන සමූහයා වෙතට පැමිණ තමා පළමුවෙන් ගඟට බැස අන්‍යයන් කැඳවා ගෙන ඉදිරියෙන් යමින් අන්‍යයන් ගඟින් එතෙර කරවන්නා වූ වීර පුරුෂයෙක් වේ,sinhala_doc_00133.png
